키워드,언론사,기사명,날짜,URL
뉴스포스트,[코로나 그래픽] 신규 확진 이틀째 2천명대로 증가,2021-10-06,http://www.newspost.kr/news/articleView.html?idxno=94719,해외 코로나 현황
보건뉴스,내년 코로나19 치료제·백신 개발 5265억 투입,2021-10-02,http://www.bokuennews.com/news/article.html?no=208407,해외 코로나 현황
비즈니스포스트,"국내 코로나19 하루 확진 2086명으로 확산세, 수도권 73.9% 차지",2021-10-04,https://www.businesspost.co.kr/BP?command=article_view&num=252747,해외 코로나 현황
KBS,"코로나19 신규 확진자 2,885명…접종 완료율 48%",2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5289578&ref=A,해외 코로나 현황
뉴스1,추석에도 방심 못할 코로나19…월요일 최다 1729명 확진(종합),2021.09.21.,https://www.news1.kr/articles/?4440118,해외 코로나 현황
KOTRA해외시장뉴스,필리핀 경제 현황 및 전망,2021-10-01,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190618,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2086명, 주말 두번째 규모…치명률 0.79%",2021-10-04,http://www.getnews.co.kr/news/articleView.html?idxno=552878,해외 코로나 현황
메디컬월드뉴스,"10월 5일 주요 시도별 코로나19 발생 현황은?…국내 신규 확진자 1,575명, 총...",2021-10-06,http://medicalworldnews.co.kr/news/view.php?idx=1510945208,해외 코로나 현황
뉴스프리존,"[국내 코로나19 현황] 21시기준 23명 늘어나 다시 2천명대, 2101명 발생",2021-10-07,http://www.newsfreezone.co.kr/news/articleView.html?idxno=339131,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(29일),2021-09-30,https://www.news1.kr/photos/view/?4991811,해외 코로나 현황
노컷뉴스,코로나19 신규확진 2289명…월요일 집계기준 '역대 최다' 경신(종합),2021.09.28.,https://www.nocutnews.co.kr/news/5630376,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 3일 0시 기준, 신규 확진자 2,086명",2021-10-04,http://www.cbci.co.kr/news/articleView.html?idxno=419736,해외 코로나 현황
뉴스1,"공정위, 아시아 소비자 정책포럼…해외직구 소비자 보호 논의",2021.09.28.,https://www.news1.kr/articles/?4445338,해외 코로나 현황
잡포스트,"김용판 의원, 국민들은 잘 못가는 해외, 범죄자는 잘 간다. 작년 한 해만 범죄...",2021-10-06,http://www.job-post.co.kr/news/articleView.html?idxno=36598,해외 코로나 현황
뉴스엔,"""건강 안전 최우선"" 방탄소년단, 코로나 뚫고 11월 LA스타디움 대면 콘서트 개...",2021.09.28.,https://www.newsen.com/news_view.php?uid=202109280813470010,해외 코로나 현황
국제뉴스,[속보]코로나19 실시간 확진자수 '1천5백여명' 주춤,2021-10-04,http://www.gukjenews.com/news/articleView.html?idxno=2320636,해외 코로나 현황
MTN,"국민연금, 7월 말 수익률 8.55%…해외주식 21.06%",2021-09-30,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021092915343136367,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 1일 0시 기준, 신규 확진자 2,486명",2021-10-02,http://www.cbci.co.kr/news/articleView.html?idxno=419659,해외 코로나 현황
